Gene	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20
ANKRD39	4.64718	3.5768838	4.085095	3.770689	4.7862544	6.3549237	4.9796376	4.5139227	4.3609633	4.272623	3.951497	4.9719105	6.2359824	6.373718	5.733301	5.683607	4.672423	5.31899	4.777586	4.9259825
ANKRD40	11.1407995	9.658881	10.020033	7.652899	11.20384	8.795819	10.470952	11.122532	10.56203	7.2717304	9.124894	10.002799	11.116161	8.752882	8.80481	9.984949	8.069129	10.175317	9.550291	10.479092
ANKRD42	3.4456687	3.280998	3.1126907	2.9870417	3.7689755	3.509695	3.7130318	3.911174	3.8488762	2.918635	3.9517293	4.526361	5.537307	2.937633	2.9340172	3.6436687	2.595825	4.129762	3.5169978	4.3333974
ANKRD44	4.36801	3.2690134	7.3881865	8.306879	10.2776785	2.6943214	5.6717014	6.849522	3.1990006	1.8227028	3.0106936	11.612205	3.9263752	6.076839	5.538619	6.382829	5.723536	2.5696502	6.5071893	2.7629235
ANKRD46	9.89745	5.9442277	7.390111	6.5337243	8.157424	6.5033746	7.3873954	9.206977	9.18558	4.175823	7.162232	9.179759	8.352717	6.453369	6.570266	6.8242393	5.9390626	8.606041	5.8943367	7.963752
ANKRD49	10.794764	6.3174405	6.1675506	9.780181	6.5852675	7.0283413	5.8538365	10.672257	12.007597	7.8896832	9.256708	9.58091	7.480053	9.549694	8.619874	12.229294	6.283659	7.7299957	6.04437	9.776709
ANKRD50	4.71915	3.4542098	3.3325171	2.747941	3.9553058	3.8324099	3.5754802	3.57809	3.0997	2.13483	2.30997	3.2062395	2.883899	2.58248	3.7450998	2.3318062	2.25408	3.8678398	2.7464497	2.98252
ANKRD52	8.33033	7.1788707	7.69905	5.8072925	7.342086	6.7978196	8.68995	8.525351	7.84347	5.9404407	5.7630196	7.1621494	8.61838	7.65282	7.95031	6.75843	6.29382	8.116076	8.349851	7.5520506
ANKRD54	10.514283	7.9752164	7.8938303	9.631874	10.116882	9.872047	8.50699	9.801498	10.452827	8.510261	11.656487	9.319865	11.569204	11.884784	10.971002	13.9574175	8.78846	9.333576	11.139652	11.866724
ANKRD65	1.164422	1.3826087	1.9581965	1.0277556	1.3811208	1.127977	2.398363	1.0218823	0.7562297	0.59340566	0.708917	1.444303	1.016772	0.531819	1.29846	0.252612	1.0875472	1.16724	1.005935	0.9975917
ANKRD6	1.529136	1.3100109	1.4535012	1.717388	1.4055331	0.8753736	1.5599308	1.8048975	1.8421925	0.390945	1.2234278	1.2717259	0.94050145	0.9026597	1.8589503	1.1628152	1.1651548	1.058636	0.35965702	1.1005588
ANKRD9	21.13556	22.131685	25.477978	32.59078	25.01929	26.051056	16.4857	35.759083	37.526104	43.1168	33.54545	24.591717	33.34251	35.300026	30.758059	31.149185	43.494812	31.069529	24.074194	37.039024
ANKS1A	7.3250847	7.36066	6.7526827	6.550434	7.7765117	6.662736	7.281514	8.809622	8.603118	5.441576	7.5448565	6.104205	6.790739	6.517566	8.124744	6.257094	7.642021	7.0747375	7.0672297	7.786376
ANKS3	4.8379974	3.3005087	4.809719	5.228208	4.126912	3.6339784	4.620479	5.15222	6.223805	4.0364947	4.3122144	3.3417144	4.194741	3.1350608	5.4681296	4.373932	2.318328	2.779176	2.075116	6.918242
